City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,queenstown,-31.8976,26.8753,3.8500000000000227,55,0,0.57,ZA,1690237092
193,ust-nera,64.5667,143.2,19.410000000000025,60,98,3.66,RU,1690237092
194,igrim,63.1906,64.4162,16.610000000000014,76,100,1.61,RU,1690237092
195,tiksi,71.6872,128.8694,4.0,81,17,1.89,RU,1690237093
196,hasaki,35.7333,140.8333,28.5,84,66,3.8,JP,1690237093
197,yaren,-0.5472,166.916,28.129999999999995,77,52,4.04,NR,1690237093
198,jiazi,22.8779,116.067,27.129999999999995,83,73,2.33,CN,1690237093
199,maumere,-8.6199,122.2111,23.600000000000023,85,96,4.19,ID,1690237093
200,okhotsk,59.3833,143.3,17.25,67,10,1.85,RU,1690237094
201,udachny,66.4167,112.4,13.03000000000003,93,18,2.13,RU,1690237094
202,portland,45.5234,-122.6762,24.430000000000007,59,75,3.09,US,1690236841
203,coxen hole,16.3244,-86.5366,30.600000000000023,66,20,10.29,HN,1690237094
204,manuguru,17.981,80.7547,24.900000000000034,95,100,3.61,IN,1690237094
205,gulf shores,30.246,-87.7008,33.10000000000002,57,0,4.63,US,1690237094
206,dickson,36.077,-87.3878,31.360000000000014,78,20,2.57,US,1690237095
207,ambodifotatra,-16.9833,49.85,22.52000000000004,80,57,2.8,MG,1690237095
208,cabo san lucas,22.8909,-109.9124,34.78000000000003,70,40,5.14,MX,1690237007
209,san patricio,28.017,-97.5169,36.05000000000001,43,7,7.72,US,1690237095
210,kapuskasing,49.4169,-82.4331,24.05000000000001,40,75,3.09,CA,1690237095
211,sivrice,38.4482,39.3084,22.560000000000002,36,0,3.6,TR,1690237096
212,ketchikan,55.3422,-131.6461,20.260000000000048,60,0,4.63,US,1690237095
213,behshahr,36.6923,53.5526,25.230000000000018,76,17,2.74,IR,1690237096
214,hualien city,23.9769,121.6044,27.420000000000016,73,92,1.57,TW,1690236981
215,kiboga,0.9161,31.7742,17.129999999999995,80,32,0.92,UG,1690237096
216,santa cruz,-17.8,-63.1667,25.700000000000045,73,75,3.09,BO,1690236865
217,kavaratti,10.5669,72.642,28.170000000000016,78,93,8.12,IN,1690237097
218,lodja,-3.4833,23.4333,28.220000000000027,34,99,0.62,CD,1690237097
219,taltal,-25.4,-70.4833,15.75,84,27,2.77,CL,1690237097
220,nar'yan-mar,67.6713,53.087,15.590000000000032,79,100,3.16,RU,1690237097
221,labuan bajo,-8.4964,119.8877,21.960000000000036,90,51,2.75,ID,1690237097
222,bechar,31.6167,-2.2167,39.18000000000001,15,40,2.06,DZ,1690237098
223,palmer,42.1584,-72.3287,29.0,47,75,4.63,US,1690237098
224,lata,40.1629,-8.3327,13.920000000000016,98,10,1.53,PT,1690237098
225,maffra,-37.9667,146.9833,6.210000000000036,87,83,2.11,AU,1690237098
226,illizi,26.4833,8.4667,32.89000000000004,10,1,5.7,DZ,1690237098
227,barabai,-2.5833,115.3833,22.120000000000005,94,59,1.05,ID,1690237099
228,banda aceh,5.5577,95.3222,26.900000000000034,70,72,5.83,ID,1690237099
229,nuuk,64.1835,-51.7216,8.340000000000032,81,20,4.63,GL,1690237099
